author,published_at,text,like_count,contexto,texto_limpo,texto_processado
@katlen5,2023-07-25T02:46:26Z,Poeta quest da falta😅,0,musica_dormir,poeta quest da falta😅,poeta quest falta😅
@katlen5,2023-07-25T02:46:01Z,ALiCE❤,1,musica_dormir,alice❤,alice❤
@katlen5,2023-07-25T02:45:23Z,😲😊,0,musica_dormir,😲😊,😲😊
@soniaelias5764,2023-07-25T02:18:57Z,"❤❤❤❤❤🥰🥰🥰🥰💤💤💤💤💤 tudo o que preciso ,neste momento, é relaxar , Amo esse vídeo! 😊Ótima noite Amigo Cássio! 🌙",1,musica_dormir,❤❤❤❤❤🥰🥰🥰🥰💤💤💤💤💤 tudo o que preciso neste momento é relaxar amo esse vídeo 😊ótima noite amigo cássio 🌙,❤❤❤❤❤🥰🥰🥰🥰💤💤💤💤💤 preciso neste momento amo vídeo 😊ótima noite amigo cássio 🌙
@camillyalvesmiranda5209,2023-07-25T00:19:03Z,"As vezes quando n consigo dormir sempre abro os comentarios e eles me confortam,obg gente maravilhosa q comentam.",62,musica_dormir,as vezes quando n consigo dormir sempre abro os comentarios e eles me confortamobg gente maravilhosa q comentam,vezes n consigo abro comentarios confortamobg maravilhosa q comentam
@Gustavosantos8888,2023-07-24T17:22:51Z,BOM,1,musica_dormir,bom,bom
@renataclaudiane5702,2023-07-24T05:50:46Z,"Que essa melodia ti faça conectar na dimensão de Deus, que o Espírito Santo preencha todo seu interior em nome de Jesus. Amém 🙏🙌
- Rapper RC ✨",4,musica_dormir,que essa melodia ti faça conectar na dimensão de deus que o espírito santo preencha todo seu interior em nome de jesus amém 🙏🙌 rapper rc ✨,melodia ti faça conectar dimensão deus espírito santo preencha todo interior nome jesus amém 🙏🙌 rapper rc ✨
@CountryHitsCollection-68hi8,2023-07-24T02:16:08Z,"No quiero mucho, solo quiero que la persona que lea esto sea saludable, feliz y amada. Te deseo un buen día mi amigo 🙏",16,musica_dormir,no quiero mucho solo quiero que la persona que lea esto sea saludable feliz y amada te deseo un buen día mi amigo 🙏,quiero mucho solo quiero la persona lea esto sea saludable feliz y amada deseo un buen día mi amigo 🙏
@rafaelatavares2659,2023-07-24T00:27:52Z,"Boa noite ♡ são 01:26h e a minha filha de 12 anos nao está a conseguir dormir, porque está com ansiedade. Estamos aqui as duas a relaxar e com a esperança de ter um sono Tranquilo. Bem haja 🇵🇹",4,musica_dormir,boa noite ♡ são h e a minha filha de anos nao está a conseguir dormir porque está com ansiedade estamos aqui as duas a relaxar e com a esperança de ter um sono tranquilo bem haja 🇵🇹,boa noite ♡ h filha anos nao conseguir porque ansiedade duas esperança sono 🇵🇹
@nossonordeste3938,2023-07-23T16:45:44Z,"Sempre que se sentir tenso, ouça esse tipo de som e sentirá a paz que necessita",1,musica_dormir,sempre que se sentir tenso ouça esse tipo de som e sentirá a paz que necessita,sentir tenso ouça tipo sentirá paz necessita
@giovanapalhari366,2023-07-23T09:09:27Z,Tive um relacionamento bem conturbado em namoro casamento esposo e filha e ouvindo esse som parece que ao longo desde a minha geração e traumas psicológico me sinto Deus falar comigo e acalmando e curando o meu coração,0,musica_dormir,tive um relacionamento bem conturbado em namoro casamento esposo e filha e ouvindo esse som parece que ao longo desde a minha geração e traumas psicológico me sinto deus falar comigo e acalmando e curando o meu coração,relacionamento conturbado namoro casamento esposo filha ouvindo parece longo desde geração traumas psicológico sinto deus falar comigo acalmando curando coração
@Josiane-x6s,2023-07-23T05:55:10Z,A vida ela vem e vai temos que aproveitar as pessoas que amamos com nossos amigos então nunca desista dos seus sonhos seja feliz❤❤,1,musica_dormir,a vida ela vem e vai temos que aproveitar as pessoas que amamos com nossos amigos então nunca desista dos seus sonhos seja feliz❤❤,vida vem aproveitar pessoas amamos amigos então nunca desista sonhos feliz❤❤
@Djjunior10,2023-07-23T05:33:28Z,"A palavra de Deus diz em Josué 1:9 : ""Não fui eu que ordenei a você? Seja forte e corajoso! Não se apavore nem desanime, pois o Senhor, o seu Deus, estará com você por onde você andar"". Estou aqui aflita e triste, eu vim parar aqui simplesmente pq não conseguia dormir e procurei uma música, e ao chegar nos comentários eu li essas mensagens e estou feliz pq tem pessoas que com certeza fizeram comentários com o coração abarrotado de angústia, e isso me inspirou em vir aqui falar com vc que está lendo. Tudo vai passar, a alegria, a tristeza, os maus momentos mas sabe o que nunca passa? A presença de Deus, Ele sempre está do nosso lado. Vai ficar tudo bem, eu prometo!",0,musica_dormir,a palavra de deus diz em josué não fui eu que ordenei a você seja forte e corajoso não se apavore nem desanime pois o senhor o seu deus estará com você por onde você andar estou aqui aflita e triste eu vim parar aqui simplesmente pq não conseguia dormir e procurei uma música e ao chegar nos comentários eu li essas mensagens e estou feliz pq tem pessoas que com certeza fizeram comentários com o coração abarrotado de angústia e isso me inspirou em vir aqui falar com vc que está lendo tudo vai passar a alegria a tristeza os maus momentos mas sabe o que nunca passa a presença de deus ele sempre está do nosso lado vai ficar tudo bem eu prometo,palavra deus diz josué ordenei forte corajoso apavore desanime pois senhor deus estará onde andar aflita triste vim parar simplesmente pq conseguia procurei chegar comentários li mensagens feliz pq pessoas certeza fizeram comentários coração abarrotado angústia inspirou vir falar lendo passar alegria tristeza maus momentos sabe nunca passa presença deus lado ficar prometo
@conquistapark7962,2023-07-23T01:59:17Z,"Eu gostei muito,me ajudou a dormi muito melhor❤❤❤",0,musica_dormir,eu gostei muitome ajudou a dormi muito melhor❤❤❤,gostei muitome ajudou dormi melhor❤❤❤
@rafaelpires630,2023-07-22T15:29:09Z,"Estou tendo uma crise de Pânico neste exato segundo. Tomara q me ajude! Parece q vou enlouquecer e morrer, e o pior, tenho q dormir pois trabalho de madrugada 😭",0,musica_dormir,estou tendo uma crise de pânico neste exato segundo tomara q me ajude parece q vou enlouquecer e morrer e o pior tenho q dormir pois trabalho de madrugada 😭,tendo crise pânico neste exato segundo tomara q ajude parece q enlouquecer morrer pior q pois trabalho madrugada 😭
@martavesfal7099,2023-07-22T10:49:24Z,"Amėm,consegui durmir,Glória a Deus em sua majestade e poder🎉",0,musica_dormir,amėmconsegui durmirglória a deus em sua majestade e poder🎉,amėmconsegui durmirglória deus majestade poder🎉
@idelfonsaferreiradossantos1028,2023-07-22T10:06:19Z,"Bom dia passando para agradecer pelo carinho,dormi muito bem como a tempo não acontecia🙌🏾 saúde e paz a todos os envolvidos 🙏🏾",14,musica_dormir,bom dia passando para agradecer pelo carinhodormi muito bem como a tempo não acontecia🙌🏾 saúde e paz a todos os envolvidos 🙏🏾,bom passando agradecer carinhodormi tempo acontecia🙌🏾 saúde paz todos envolvidos 🙏🏾
@AnaLeticia-eg4rx,2023-07-22T04:03:13Z,Amooooo essa música ❤ traz uma paz.. poucas músicas de dormir traz essa paz que ela traz,0,musica_dormir,amooooo essa música ❤ traz uma paz poucas músicas de dormir traz essa paz que ela traz,amooooo ❤ traz paz poucas músicas traz paz traz
@Ferrerinha_2,2023-07-22T00:13:52Z,Casio bom dia ainda tou escutando e ja ta acabando,0,musica_dormir,casio bom dia ainda tou escutando e ja ta acabando,casio bom tou escutando ja ta acabando
@santosjoao7723,2023-07-21T02:23:54Z,A verdadeira música e o silêncio,0,musica_dormir,a verdadeira música e o silêncio,verdadeira silêncio
@Fatos_Curiosos266,2023-07-21T02:03:05Z,Pow quando eu durmo de madrugaa aparece anuncio do mercado livre e me acorda na hr kkkkkkkk,0,musica_dormir,pow quando eu durmo de madrugaa aparece anuncio do mercado livre e me acorda na hr kkkkkkkk,pow durmo madrugaa aparece anuncio mercado livre acorda hr kkkkkkkk
@Erik-tn8eo,2023-07-21T01:56:49Z,"N o Cassio e eu q tava dormindo ne ai do nada ""KWAI SEU APP DE VÍDEOS CURTOS"" eu quase infartei😂😂",0,musica_dormir,n o cassio e eu q tava dormindo ne ai do nada kwai seu app de vídeos curtos eu quase infartei😂😂,n cassio q tava dormindo ne ai nada kwai app vídeos curtos quase infartei😂😂
@Erik-tn8eo,2023-07-21T01:51:55Z,Vulcanopositilocovulcanocoviotico😮,0,musica_dormir,vulcanopositilocovulcanocoviotico😮,vulcanopositilocovulcanocoviotico😮
@Erik-tn8eo,2023-07-21T01:49:25Z,Q msc boa crfaz dorm8r w nem um anjinho tds os dias❤ obg por fqzer essa msc cara amo suas mscs,0,musica_dormir,q msc boa crfaz dormr w nem um anjinho tds os dias❤ obg por fqzer essa msc cara amo suas mscs,q msc boa crfaz dormr w anjinho tds dias❤ obg fqzer msc cara amo mscs
@PowerGuidoDmz,2023-07-20T04:28:58Z,O ruim é que toda hora a magalu me acorda,0,musica_dormir,o ruim é que toda hora a magalu me acorda,ruim toda hora magalu acorda
@danielefernanda1418,2023-07-20T03:18:26Z,"Botei esse som para tentar dormir e não ouvir minha irmã roncar,mas não adiantou,ela ronca mais alto que o som 😏",0,musica_dormir,botei esse som para tentar dormir e não ouvir minha irmã roncarmas não adiantouela ronca mais alto que o som 😏,botei tentar ouvir irmã roncarmas adiantouela ronca alto 😏
@andersonescob,2023-07-19T11:15:12Z,É ótimo dormir e do nada vem uma propaganda kkkkkk quase infarta kk,0,musica_dormir,é ótimo dormir e do nada vem uma propaganda kkkkkk quase infarta kk,ótimo nada vem propaganda kkkkkk quase infarta kk
@Rochete,2023-07-19T05:21:45Z,Cuidado,0,musica_dormir,cuidado,cuidado
@mariaritadesousa259,2023-07-19T04:11:40Z,Obrigado pelas msg pessoal . Passo por momentos difíceis.  De dormir.  Eu tenho q acorda as 6 e já são 1 da madrugada.  Todos os dias a msm coisa 😢 . Mais Deus vai mim curar,8,musica_dormir,obrigado pelas msg pessoal passo por momentos difíceis de dormir eu tenho q acorda as e já são da madrugada todos os dias a msm coisa 😢 mais deus vai mim curar,msg pessoal passo momentos difíceis q acorda madrugada todos dias msm 😢 deus curar
@frantiescowilhelmsen4347,2023-07-19T00:42:48Z,❤,1,musica_dormir,❤,❤
@MeyreRafaelr,2023-07-18T15:10:29Z,❤❤❤🔊☪️🔘,1,musica_dormir,❤❤❤🔊☪️🔘,❤❤❤🔊☪️🔘
@Evelyn-y2r9t,2023-07-18T03:29:32Z,"Deus esta contigo, nao temas e tenha um sono tranquilo❤😊
Só durmo com essa musica todas as noites",37,musica_dormir,deus esta contigo nao temas e tenha um sono tranquilo❤😊 só durmo com essa musica todas as noites,deus contigo nao temas sono tranquilo❤😊 durmo musica todas noites
@joseildamacedo5926,2023-07-18T02:03:03Z,"A atmosfera do vídeo é singular... Ao mesmo tempo que é familiar é tão diferente de tudo que ja vi no mundo real... É como se fosse uma imagem do inconsciente... Não sei explicar... só sei sentir a paz que dá ficar observando os pontos de luz em movimento, as nevoas... 🙏",8,musica_dormir,a atmosfera do vídeo é singular ao mesmo tempo que é familiar é tão diferente de tudo que ja vi no mundo real é como se fosse uma imagem do inconsciente não sei explicar só sei sentir a paz que dá ficar observando os pontos de luz em movimento as nevoas 🙏,atmosfera vídeo singular tempo familiar diferente ja vi mundo real imagem inconsciente sei explicar sei sentir paz dá ficar observando pontos luz movimento nevoas 🙏
@icarocorreia4241,2023-07-18T00:24:48Z,"Esse comentário é Só para agradecer você que tira seu tempo precioso, para transmitir boas vibrações em palavras !
Veleu✌🏼",10,musica_dormir,esse comentário é só para agradecer você que tira seu tempo precioso para transmitir boas vibrações em palavras veleu✌🏼,comentário agradecer tira tempo precioso transmitir boas vibrações palavras veleu✌🏼
@ritamartignago7667,2023-07-17T22:15:03Z,Boa noite! Pensei que ia ter treco de tão tensa. Agora esta música está acalmando minha alma e meu coração 🙏🙏 gratidão!!!!!,2,musica_dormir,boa noite pensei que ia ter treco de tão tensa agora esta música está acalmando minha alma e meu coração 🙏🙏 gratidão,boa noite pensei ia treco tensa acalmando alma coração 🙏🙏 gratidão
@cristianemenezes3783,2023-07-17T16:19:07Z,Essa foi a última música de dormir que meu filho escutou antes dee deixar 😭😭,1,musica_dormir,essa foi a última música de dormir que meu filho escutou antes dee deixar 😭😭,última filho escutou antes dee deixar 😭😭
@veraluciaalves8074,2023-07-16T20:14:53Z,😊,0,musica_dormir,😊,😊
@veraluciaalves8074,2023-07-16T20:14:16Z,Eu amei eca muito 😢❤,0,musica_dormir,eu amei eca muito 😢❤,amei eca 😢❤
@Sams36aaa,2023-07-16T16:05:41Z,"AMEI, AMO, SENTIR ESSA INERGIA POSITIVA",0,musica_dormir,amei amo sentir essa inergia positiva,amei amo sentir inergia positiva
@Geilza948,2023-07-16T15:18:10Z,Eu amei❤,1,musica_dormir,eu amei❤,amei❤
@tocalife548,2023-07-16T03:08:57Z,Brisei,0,musica_dormir,brisei,brisei
@juliagomes7790,2023-07-15T11:43:41Z,"Sempre que preciso dormir e tenho insônia, venho aqui. Sempre durmo muito rápido, surreal",1,musica_dormir,sempre que preciso dormir e tenho insônia venho aqui sempre durmo muito rápido surreal,preciso insônia venho durmo rápido surreal
@rosemeiresantos2366,2023-07-15T04:11:44Z,Essa melodia trasmite  mta Paz e Tranquilidade boa madruga..p❤,0,musica_dormir,essa melodia trasmite mta paz e tranquilidade boa madrugap❤,melodia trasmite mta paz tranquilidade boa madrugap❤
@ferr4rihg,2023-07-15T01:16:30Z,Música incrível meu nome e pedro e durmo sozinho na casa com meus pais!❤,1,musica_dormir,música incrível meu nome e pedro e durmo sozinho na casa com meus pais❤,incrível nome pedro durmo sozinho casa pais❤
@leiali7374,2023-07-15T00:49:23Z,Quandoo eu nao consigo. Dormi. Eu. Boto esa. Mussica😅😅,0,musica_dormir,quandoo eu nao consigo dormi eu boto esa mussica😅😅,quandoo nao consigo dormi boto esa mussica😅😅
@GabiYamada,2023-07-14T07:36:52Z,Amém aleluia glória a Deus amém amor e felicidade para todos ❤❤❤❤❤❤❤❤❤❤,1,musica_dormir,amém aleluia glória a deus amém amor e felicidade para todos ❤❤❤❤❤❤❤❤❤❤,amém aleluia glória deus amém amor felicidade todos ❤❤❤❤❤❤❤❤❤❤
@mariajoseilde3571,2023-07-14T02:32:02Z,Eu dormi como um anjo 😇😴😪,1,musica_dormir,eu dormi como um anjo 😇😴😪,dormi anjo 😇😴😪
@edu_marston,2023-07-14T00:51:54Z,Liguei os dados móveis pois essa eu faço questão de pagar pra ouvir,0,musica_dormir,liguei os dados móveis pois essa eu faço questão de pagar pra ouvir,liguei dados móveis pois faço questão pagar ouvir
@Rebekinhah2.0,2023-07-13T17:36:33Z,So assim mesmo pra dormir,1,musica_dormir,so assim mesmo pra dormir,so assim
@User_Name_Tatha,2023-07-13T02:09:28Z,Oi amiga tudo bem com você eu não vou pra escola não tá bom dia amiga tudo bem com você eu não sei se eu não me engano é o que eu vou fazer o pix pra me fazer o que eu vou pra casa de madrinha a senhora tá em casa e eu não tenho carrapato e o que eu vou fazer o pix pra me fazer uma visita e o que 😨 não tem nada pra fazer o pix pra me fazer o pix pra ela e o valor que 😐 não sei 🤷‍♂️ alguma forma a não não eu quero ir no cinema 🎥 shopping eu eu quero quero que 😐 não não eu eu quero ir no cinema cinema 🎥🎥 de uma uma mãe e eu tô no hospital 🏥 é o dia todo mundo 🌍 de uma forma forma a a eu eu quero ir no cinema 🎥 shopping de são Gabriel Gabriel vem pra pra casa casa 🏡🏡 de uma forma mais simples de se fazer a sua filha eu eu quero ir no cinema 🎥 shopping de são Gabriel tá certo vou fazer 🫡 com você e eu tô no hospital 🏥 é o dia dia eu eu quero ir ir aí na na minha minha irmã irmã que que 😐😐 de de um um 😐 que 😐 não sei 🤷🏼‍♀️ de que horas você vai fazer a unha da mão de Deus do céu 🌌 é o dia todo mundo 🌍 de uma forma mais simples de se fazer a sua filha e eu tô no hospital 🏥 eu quero ir no cinema 🎥 de que eu não vou não tem que 😐 não sei 🤷‍♂️🤷‍♂️ de de de um um 😶😶 de de um 😐 que 😐 não sei 🤷‍♂️ e não tá não é a mesma pessoa 🧒 é o dia todo mundo 🌍 de uma amiga minha que 😐 o meu pai faleceu e a gente não pode me passar um  😕 dia do aniversário 🎂 e não tá não é minha mãe e eu tô no terreno agora que 😐 o valor da casa 🏡 bom eu não tenho mais o resto do dia de trabalho aqui em baixo e a minha filha da minha vida e que o que é que tá certo vou fazer 🫡 com você AQUILO,0,musica_dormir,oi amiga tudo bem com você eu não vou pra escola não tá bom dia amiga tudo bem com você eu não sei se eu não me engano é o que eu vou fazer o pix pra me fazer o que eu vou pra casa de madrinha a senhora tá em casa e eu não tenho carrapato e o que eu vou fazer o pix pra me fazer uma visita e o que 😨 não tem nada pra fazer o pix pra me fazer o pix pra ela e o valor que 😐 não sei 🤷‍♂️ alguma forma a não não eu quero ir no cinema 🎥 shopping eu eu quero quero que 😐 não não eu eu quero ir no cinema cinema 🎥🎥 de uma uma mãe e eu tô no hospital 🏥 é o dia todo mundo 🌍 de uma forma forma a a eu eu quero ir no cinema 🎥 shopping de são gabriel gabriel vem pra pra casa casa 🏡🏡 de uma forma mais simples de se fazer a sua filha eu eu quero ir no cinema 🎥 shopping de são gabriel tá certo vou fazer 🫡 com você e eu tô no hospital 🏥 é o dia dia eu eu quero ir ir aí na na minha minha irmã irmã que que 😐😐 de de um um 😐 que 😐 não sei 🤷🏼‍♀️ de que horas você vai fazer a unha da mão de deus do céu 🌌 é o dia todo mundo 🌍 de uma forma mais simples de se fazer a sua filha e eu tô no hospital 🏥 eu quero ir no cinema 🎥 de que eu não vou não tem que 😐 não sei 🤷‍♂️🤷‍♂️ de de de um um 😶😶 de de um 😐 que 😐 não sei 🤷‍♂️ e não tá não é a mesma pessoa 🧒 é o dia todo mundo 🌍 de uma amiga minha que 😐 o meu pai faleceu e a gente não pode me passar um 😕 dia do aniversário 🎂 e não tá não é minha mãe e eu tô no terreno agora que 😐 o valor da casa 🏡 bom eu não tenho mais o resto do dia de trabalho aqui em baixo e a minha filha da minha vida e que o que é que tá certo vou fazer 🫡 com você aquilo,oi amiga escola bom amiga sei engano fazer pix fazer casa madrinha senhora casa carrapato fazer pix fazer visita 😨 nada fazer pix fazer pix valor 😐 sei 🤷‍♂️ alguma forma quero ir cinema 🎥 shopping quero quero 😐 quero ir cinema cinema 🎥🎥 mãe tô hospital 🏥 todo mundo 🌍 forma forma quero ir cinema 🎥 shopping gabriel gabriel vem casa casa 🏡🏡 forma simples fazer filha quero ir cinema 🎥 shopping gabriel certo fazer 🫡 tô hospital 🏥 quero ir ir aí irmã irmã 😐😐 😐 😐 sei 🤷🏼‍♀️ horas fazer unha mão deus céu 🌌 todo mundo 🌍 forma simples fazer filha tô hospital 🏥 quero ir cinema 🎥 😐 sei 🤷‍♂️🤷‍♂️ 😶😶 😐 😐 sei 🤷‍♂️ mesma pessoa 🧒 todo mundo 🌍 amiga 😐 pai faleceu pode passar 😕 aniversário 🎂 mãe tô terreno 😐 valor casa 🏡 bom resto trabalho baixo filha vida certo fazer 🫡
@User_Name_Tatha,2023-07-13T02:02:35Z,Gente olha eu demovíeis vou falar coisas sem sentido ok ate meu irmão dormir ok,0,musica_dormir,gente olha eu demovíeis vou falar coisas sem sentido ok ate meu irmão dormir ok,olha demovíeis falar coisas sentido ok ate irmão ok
@soniaelias5764,2023-07-13T01:41:44Z,"Hoje escolhi esse som  pra relaxar! Amo muito lindo!descobri na creche na hora das crianças dormir !Maravilhoso  uma Calmaria envolvente !!!❤❤❤❤❤Obrigado Amigo Cássio, por nos proporcionar esses momentos em que precisamos descansar com esse Canal top !💯😊😘❤️💤",0,musica_dormir,hoje escolhi esse som pra relaxar amo muito lindodescobri na creche na hora das crianças dormir maravilhoso uma calmaria envolvente ❤❤❤❤❤obrigado amigo cássio por nos proporcionar esses momentos em que precisamos descansar com esse canal top 💯😊😘❤️💤,hoje escolhi amo lindodescobri creche hora crianças maravilhoso calmaria envolvente ❤❤❤❤❤obrigado amigo cássio proporcionar momentos precisamos descansar canal top 💯😊😘❤️💤
@User_Name_Tatha,2023-07-12T05:00:01Z,Eu não tenho carrapato e o que eu vou fazer o pix pra me fazer o pix pra ela não vai dar pra mim por favor me manda o pix pra me fazer o pix pra me do brinco e o que eu vou fazer o que eu vou aí buscar a moto e o que eu vou fazer o pix pra me fazer uma pergunta você tem um pouco mais tarde agente não faz barulho do meu pai vai ser o que é que tá bom então vou levar pra casa da minha madrinha de um litro e o meu é o meu pai faleceu no hospital e a minha filha da da minha vida e que que é é a a minha minha amiga amiga que que é é a minha minha amiga amiga 😢 bom dia amiga eu não tenho mais o resto do dia de trabalho aqui em baixo e a minha filha da da minha vida e que o que que é que que você você não não sei sei lá o meu é amanhã eu vou fazer o que eu vou fazer o pix e eu não tenho mais nada pra fazer a fazeda FINALMENTE ELE DORMIU GNT MEU IRMÃO DORMIU 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,0,musica_dormir,eu não tenho carrapato e o que eu vou fazer o pix pra me fazer o pix pra ela não vai dar pra mim por favor me manda o pix pra me fazer o pix pra me do brinco e o que eu vou fazer o que eu vou aí buscar a moto e o que eu vou fazer o pix pra me fazer uma pergunta você tem um pouco mais tarde agente não faz barulho do meu pai vai ser o que é que tá bom então vou levar pra casa da minha madrinha de um litro e o meu é o meu pai faleceu no hospital e a minha filha da da minha vida e que que é é a a minha minha amiga amiga que que é é a minha minha amiga amiga 😢 bom dia amiga eu não tenho mais o resto do dia de trabalho aqui em baixo e a minha filha da da minha vida e que o que que é que que você você não não sei sei lá o meu é amanhã eu vou fazer o que eu vou fazer o pix e eu não tenho mais nada pra fazer a fazeda finalmente ele dormiu gnt meu irmão dormiu 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,carrapato fazer pix fazer pix dar favor manda pix fazer pix brinco fazer aí buscar moto fazer pix fazer pergunta pouco tarde agente barulho pai bom então levar casa madrinha litro pai faleceu hospital filha vida amiga amiga amiga amiga 😢 bom amiga resto trabalho baixo filha vida sei sei lá amanhã fazer fazer pix nada fazer fazeda finalmente dormiu gnt irmão dormiu 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
@User_Name_Tatha,2023-07-12T04:56:29Z,Mas eu acho que não vou pra lá pra ver se eu tivesse aí eu vou fazer o pix pra me fazer um bolo pra mim por favor me manda o,0,musica_dormir,mas eu acho que não vou pra lá pra ver se eu tivesse aí eu vou fazer o pix pra me fazer um bolo pra mim por favor me manda o,acho lá aí fazer pix fazer bolo favor manda
@User_Name_Tatha,2023-07-12T04:53:55Z,Eu sempre coloco esse áudio pra meu irmão dormir kkk mas também ralaxo muita kkk,0,musica_dormir,eu sempre coloco esse áudio pra meu irmão dormir kkk mas também ralaxo muita kkk,coloco áudio irmão kkk ralaxo muita kkk
@Micky_coffee,2023-07-12T03:40:03Z,Amo essa musica!,1,musica_dormir,amo essa musica,amo musica
@karinamarcela2759,2023-07-12T02:14:04Z,Que Deus te abençoe todos que estão passando por um momento difícil. Eu creio q vou sair dessa fase ruim.,2,musica_dormir,que deus te abençoe todos que estão passando por um momento difícil eu creio q vou sair dessa fase ruim,deus abençoe todos passando momento difícil creio q sair dessa fase ruim
@fabianaamorim1606,2023-07-12T00:51:56Z,§§§,0,musica_dormir,§§§,§§§
@thamyrismayara1271,2023-07-11T01:16:56Z,Para mim nao funcionar so me tras lembranças de pessoas mortas 😢,0,musica_dormir,para mim nao funcionar so me tras lembranças de pessoas mortas 😢,nao funcionar so tras lembranças pessoas mortas 😢
@niih6226,2023-07-10T05:44:26Z,"Que Deus abençoe cada um de vcs, e que tirem cada angústia ansiedade e tristeza do coração de vcs, e que coloque apegria paz armonla e muitas bênçãos🙏🏻💕",2,musica_dormir,que deus abençoe cada um de vcs e que tirem cada angústia ansiedade e tristeza do coração de vcs e que coloque apegria paz armonla e muitas bênçãos🙏🏻💕,deus abençoe cada vcs tirem cada angústia ansiedade tristeza coração vcs coloque apegria paz armonla muitas bênçãos🙏🏻💕
@gabrielgamee624,2023-07-10T02:43:18Z,música gostosa😌😋😏,0,musica_dormir,música gostosa😌😋😏,gostosa😌😋😏
@marianesantos8921,2023-07-10T02:34:36Z,"Para você que está lendo esse comentário e ouvindo essa música, saiba que coisas boas estão por vir ✨️ eis a pessoa mais importante da sua VIDA✨️
Descanse e acalme sua mente 🩶",30,musica_dormir,para você que está lendo esse comentário e ouvindo essa música saiba que coisas boas estão por vir ✨️ eis a pessoa mais importante da sua vida✨️ descanse e acalme sua mente 🩶,lendo comentário ouvindo saiba coisas boas vir ✨️ eis pessoa importante vida✨️ descanse acalme mente 🩶
@joaofortuna8272,2023-07-09T20:22:19Z,"Obrigado pela atenção dispensada e força, adicionado pelo  poder desta melodia que está me proporcionando. Obrigado",1,musica_dormir,obrigado pela atenção dispensada e força adicionado pelo poder desta melodia que está me proporcionando obrigado,atenção dispensada força adicionado poder desta melodia proporcionando
@erikydonalt9520,2023-07-09T06:55:49Z,Uma boa noite ai,0,musica_dormir,uma boa noite ai,boa noite ai
@patriciadalbem8284,2023-07-09T06:53:21Z,Precisava de ler esses comentários 😢. Foi consolo de Deus ao meu coração. Passando por um ciclo difícil. Eu sei que Deus tem controle de tudo e que Ele abençoe a cada pessoa que deixou um recado de conforto.,0,musica_dormir,precisava de ler esses comentários 😢 foi consolo de deus ao meu coração passando por um ciclo difícil eu sei que deus tem controle de tudo e que ele abençoe a cada pessoa que deixou um recado de conforto,precisava ler comentários 😢 consolo deus coração passando ciclo difícil sei deus controle abençoe cada pessoa recado conforto
@alexandraribeiro9207,2023-07-08T21:20:12Z,Grata pelas musicas do seu canal 🙏 ajudam muito a minha bebê a relaxar e a dormir 🤍 .,1,musica_dormir,grata pelas musicas do seu canal 🙏 ajudam muito a minha bebê a relaxar e a dormir 🤍,grata musicas canal 🙏 ajudam bebê 🤍
@julioescobar4840,2023-07-08T15:16:11Z,"eu já mandei um comentário, gostem o não poco me impcorno 

orta seus",1,musica_dormir,eu já mandei um comentário gostem o não poco me impcorno orta seus,mandei comentário gostem poco impcorno orta
@claudianane6961,2023-07-08T08:24:03Z,Bom dia a Todos❤,1,musica_dormir,bom dia a todos❤,bom todos❤
@brunofortes9945,2023-07-08T06:11:43Z,"Boa noite fml vim deixar aqui a mensagem de alegria pra quem precisar, sei la lendo essas coisas nos comentários parece ate um grupo de pessoas perdidas com o mesmo sentimento que n conseguem dormir e procuram algo que relaxe. Se vc tiver passando oq eu to passando so quero que sinta-se abraçado por mim",1,musica_dormir,boa noite fml vim deixar aqui a mensagem de alegria pra quem precisar sei la lendo essas coisas nos comentários parece ate um grupo de pessoas perdidas com o mesmo sentimento que n conseguem dormir e procuram algo que relaxe se vc tiver passando oq eu to passando so quero que sintase abraçado por mim,boa noite fml vim deixar mensagem alegria precisar sei la lendo coisas comentários parece ate grupo pessoas perdidas sentimento n conseguem procuram algo relaxe passando oq to passando so quero sintase abraçado
@EmillySilvaleite-et5ov,2023-07-08T03:09:53Z,Só escuto essa,0,musica_dormir,só escuto essa,escuto
@elissandramenezes2146,2023-07-08T01:05:24Z,D eus e a minha salvação,0,musica_dormir,d eus e a minha salvação,d eus salvação
@elissandramenezes2146,2023-07-08T01:00:06Z,Boa noite 🌃🌃🥱,0,musica_dormir,boa noite 🌃🌃🥱,boa noite 🌃🌃🥱
@lucivetepontespontes6184,2023-07-07T08:38:02Z,"Abençoadas todas as pessoas que com suas palavras de carinho e Amor para com o próximo deixam aqui o conforto nos corações aflitos.
Que a Paz e o Amor de Jesus Cristo estejam sempre em nossos corações ❤ Deus abençoe à todos!",0,musica_dormir,abençoadas todas as pessoas que com suas palavras de carinho e amor para com o próximo deixam aqui o conforto nos corações aflitos que a paz e o amor de jesus cristo estejam sempre em nossos corações ❤ deus abençoe à todos,abençoadas todas pessoas palavras carinho amor próximo deixam conforto corações aflitos paz amor jesus cristo corações ❤ deus abençoe todos
